Occupation title,Proximity to others,Exposure to disease,Total in employment
Chief executives and senior officials,48.7,11.7,101000
Production managers and directors in manufacturing,48.0,7.5,313000
Production managers and directors in construction,50.0,4.0,210000
Production managers and directors in mining and energy,49.3,9.0,19000
Financial managers and directors,44.0,5.5,352000
Marketing and sales directors,47.5,2.5,270000
Purchasing managers and directors,47.3,5.3,64000
Advertising and public relations directors,42.0,7.0,45000
Human resource managers and directors,39.7,4.3,217000
Information technology and telecommunications directors,41.0,1.0,120000
Functional managers and directors n.e.c.,49.3,9.0,127000
Financial institution managers and directors,47.7,8.3,88000
Managers and directors in transport and distribution,47.3,5.3,83000
Managers and directors in storage and warehousing,47.3,5.3,113000
Senior police officers,70.2,49.0,10000
"Senior officers in fire, ambulance, prison and related services",49.3,9.0,11000
Health services and public health managers and directors,45.0,34.0,74000
Social services managers and directors,42.0,26.0,34000
Managers and directors in retail and wholesale,55.0,14.0,345000
Managers and proprietors in agriculture and horticulture,55.7,4.7,24000
"Managers and proprietors in forestry, fishing and related services",55.7,4.7,12000
Hotel and accommodation managers and proprietors,49.0,4.0,58000
Restaurant and catering establishment managers and proprietors,78.0,10.0,144000
Publicans and managers of licensed premises,49.0,4.0,40000
Leisure and sports managers,52.0,9.8,59000
Travel agency managers and proprietors,49.3,9.0,7000
Health care practice managers,56.5,37.0,26000
"Residential, day and domiciliary  care managers and proprietors",50.0,24.0,63000
"Property, housing and estate managers",49.3,9.0,198000
Garage managers and proprietors,49.3,9.0,26000
Hairdressing and beauty salon managers and proprietors,49.3,9.0,25000
Shopkeepers and proprietors Ð wholesale and retail,55.0,14.0,117000
Waste disposal and environmental services managers,49.3,9.0,17000
Managers and proprietors in other services n.e.c.,49.3,9.0,230000
Chemical scientists,51.5,12.5,25000
Biological scientists and biochemists,44.8,30.5,80000
Physical scientists,39.3,4.8,28000
Social and humanities scientists,51.3,10.0,29000
Natural and social science professionals n.e.c.,44.8,30.5,62000
Civil engineers,46.5,4.5,88000
Mechanical engineers,51.6,2.6,78000
Electrical engineers,48.0,1.0,54000
Electronics engineers,46.7,3.0,32000
Design and development engineers,49.1,8.0,78000
Production and process engineers,52.0,3.5,48000
Engineering professionals n.e.c.,49.1,8.0,130000
"IT business analysts, architects and systems designers",47.0,17.3,148000
Programmers and software development professionals,47.5,0.0,388000
Conservation professionals,48.3,6.6,15000
Environment professionals,48.3,6.6,43000
Research and development managers,43.6,11.0,55000
Medical practitioners,89.2,91.2,296000
Psychologists,55.2,32.6,36000
Pharmacists,72.0,76.0,70000
Ophthalmic opticians,90.0,75.0,18000
Dental practitioners,97.0,90.0,41000
Veterinarians,91.0,89.0,27000
Medical radiographers,88.8,89.8,34000
Podiatrists,84.9,67.8,12000
Health professionals n.e.c.,84.9,67.8,64000
Physiotherapists,96.5,61.0,73000
Occupational therapists,84.9,67.8,47000
Speech and language therapists,73.0,60.0,20000
Therapy professionals n.e.c.,55.2,32.6,63000
Nurses,86.0,91.5,669000
Midwives,97.0,89.0,45000
Higher education teaching professionals,50.7,11.1,178000
Further education teaching professionals,77.0,23.7,127000
Secondary education teaching professionals,70.0,17.0,395000
Primary and nursery education teaching professionals,74.5,50.0,437000
Special needs education teaching professionals,83.0,48.8,86000
Senior professionals of educational establishments,50.8,14.3,96000
Education advisers and school inspectors,51.5,8.5,35000
Teaching and other educational professionals n.e.c.,64.0,36.0,253000
Barristers and judges,34.0,14.0,30000
Solicitors,34.0,14.0,122000
Legal professionals n.e.c.,34.0,14.0,60000
Chartered and certified accountants,47.5,2.8,185000
Management consultants and business analysts,49.8,4.3,198000
Business and financial project management professionals,49.8,4.3,272000
"Actuaries, economists and statisticians",39.0,2.1,56000
Business and related research professionals,51.5,4.2,54000
"Business, research and administrative professionals n.e.c.",51.5,4.2,75000
Architects,53.0,2.0,55000
Town planning officers,54.0,6.0,19000
Quantity surveyors,49.1,8.0,54000
Chartered surveyors,47.3,4.7,61000
Chartered architectural technologists,53.0,2.0,6000
Construction project managers and related professionals,50.0,4.0,83000
Social workers,60.4,46.4,111000
Probation officers,60.4,46.4,13000
Clergy,51.5,26.5,48000
Welfare professionals n.e.c.,60.4,46.4,30000
Librarians,55.5,17.0,20000
Archivists and curators,44.0,3.5,17000
Quality control and planning engineers,49.1,8.0,35000
Quality assurance and regulatory professionals,49.8,4.3,107000
Environmental health professionals,64.5,34.0,10000
"Journalists, newspaper and periodical editors",54.5,4.5,80000
Public relations professionals,46.0,4.0,67000
Advertising accounts managers and creative directors,33.0,2.3,39000
Laboratory technicians,50.7,4.2,73000
Electrical and electronics technicians,57.3,6.5,35000
Engineering technicians,55.8,5.4,100000
Building and civil engineering technicians,63.9,29.8,22000
Quality assurance technicians,58.1,16.1,34000
"Planning, process and production technicians",57.0,1.0,27000
"Science, engineering and production technicians n.e.c.",58.1,16.1,49000
Architectural and town planning technicians,63.9,29.8,23000
Draughtspersons,41.8,1.5,38000
IT operations technicians,42.0,7.0,108000
Paramedics,97.0,89.0,28000
Dispensing opticians,83.0,40.0,9000
Pharmaceutical technicians,83.0,72.0,33000
Medical and dental technicians,88.8,89.8,42000
Youth and community workers,79.0,58.0,74000
Child and early years officers,79.0,58.0,43000
Housing officers,79.0,58.0,54000
Counsellors,60.4,46.4,26000
Welfare and housing associate professionals n.e.c.,79.0,58.0,142000
Police officers (sergeant and below),77.0,62.8,153000
Fire service officers (watch manager and below),78.0,53.8,44000
Prison service officers (below principal officer),76.0,78.5,42000
Police community support officers,77.0,62.8,13000
Protective service associate professionals n.e.c.,62.0,28.4,63000
Artists,21.5,1.0,60000
"Authors, writers and translators",39.8,1.8,91000
"Actors, entertainers and presenters",95.0,5.0,54000
Dancers and choreographers,76.0,8.0,23000
Musicians,67.3,13.3,54000
"Arts officers, producers and directors",55.9,1.4,100000
"Photographers, audio-visual and broadcasting equipment operators",65.0,6.0,73000
Graphic designers,43.5,0.0,89000
"Product, clothing and related designers",53.1,1.7,83000
Sports players,59.0,6.0,14000
"Sports coaches, instructors and officials",73.7,9.3,97000
Fitness instructors,84.2,27.8,68000
Air traffic controllers,74.0,11.5,8000
Aircraft pilots and flight engineers,76.7,23.0,26000
Ship and hovercraft officers,70.0,18.0,14000
Legal associate professionals,55.2,13.5,74000
"Estimators, valuers and assessors",46.4,4.2,62000
Brokers,50.0,2.8,53000
Insurance underwriters,52.0,5.0,29000
Finance and investment analysts and advisers,42.0,1.0,219000
Taxation experts,47.5,2.8,35000
Importers and exporters,54.2,2.7,6000
Financial and accounting technicians,45.8,3.4,23000
Financial accounts managers,44.0,4.0,176000
Business and related associate professionals n.e.c.,49.3,4.5,184000
Buyers and procurement officers,48.7,4.0,59000
